x_coord,y_coord,color,label
-32.532074,-33.00125,black,0
-34.030174,-33.2218,black,0
-27.106194,-27.673594,black,0
-27.830479,-28.468075,black,0
-33.36953,-37.38112,black,0
-28.10723,-42.973152,black,0
-34.184418,-36.459057,black,0
-28.951328,-47.70277,black,0
-25.79099,-30.66115,black,0
-29.014833,-30.200134,black,0
-28.16575,-30.093346,black,0
-29.786503,-42.838753,black,0
-26.748423,-30.561132,black,0
-29.002607,-47.027702,black,0
-32.931973,-40.323273,black,0
-28.058556,-34.204567,black,0
-34.904484,-33.016346,black,0
-31.862282,-42.45859,black,0
-36.084206,-39.539528,black,0
-26.331963,-30.198286,black,0
-27.029589,-33.406815,black,0
-31.153301,-44.59584,black,0
-30.562513,-43.668728,black,0
-25.76239,-35.110584,black,0
-22.64004,-35.34049,black,0
-28.351198,-44.217842,black,0
-8.242223,-35.000946,black,0
-28.958738,-33.038876,black,0
-28.865316,-48.558792,black,0
-29.458586,-44.74464,black,0
-4.311308,32.541386,black,0
-30.728298,-41.722733,black,0
-31.321587,-37.209328,black,0
-27.164494,-37.714676,black,0
-32.182556,-34.925507,black,0
-25.705256,-32.30161,black,0
-28.138979,-34.782036,black,0
-30.652569,-35.447437,black,0
-33.302193,-34.532192,black,0
-33.019817,-35.062275,black,0
-31.06253,-42.12082,black,0
-31.961187,-40.99056,black,0
-28.31258,-41.815025,black,0
-24.548065,-30.168283,black,0
-37.28802,-35.181152,black,0
-29.94044,-42.005054,black,0
-33.329445,-40.7981,black,0
-29.081266,-45.82446,black,0
-37.801834,-33.90141,black,0
-36.803017,-39.231567,black,0
-37.80949,-32.097847,black,0
-31.991604,-43.65644,black,0
-29.348888,-43.717484,black,0
-36.94589,-23.133453,black,0
-26.281855,-28.846466,black,0
-37.5573,-32.95521,black,0
-22.631891,-35.442703,black,0
-26.369898,-42.29294,black,0
-36.80727,-27.67529,black,0
-25.51092,-37.470085,black,0
-35.681168,-27.964228,black,0
-33.17696,-32.52605,black,0
-27.03645,-28.657066,black,0
-26.938137,-35.077206,black,0
-22.598553,-30.863567,black,0
-36.62081,-22.869781,black,0
-24.041704,-37.00756,black,0
-33.85997,-31.825779,black,0
-34.185516,-31.254274,black,0
-27.460207,-37.534218,black,0
-35.387722,-33.95136,black,0
-34.8568,-25.013954,black,0
-36.577602,-35.34154,black,0
-36.194927,-32.179863,black,0
-37.150406,-29.219753,black,0
-24.872856,-28.3206,black,0
-36.300556,-32.41592,black,0
-36.398277,-34.050705,black,0
-33.468727,-43.716335,black,0
-28.91764,-35.384262,black,0
-37.780884,-30.337177,black,0
-33.56066,-29.28297,black,0
-35.84354,-30.353226,black,0
-32.133965,-33.83142,black,0
-33.946106,-27.414675,black,0
-26.59017,-43.00647,black,0
-38.260166,-25.58364,black,0
-37.70891,-25.2276,black,0
-33.650867,-29.969614,black,0
-38.22475,-21.52181,black,0
-35.454308,-29.715736,black,0
-24.326048,-32.875816,black,0
-34.330208,-26.545069,black,0
-37.895958,-28.181469,black,0
-35.13346,-26.35728,black,0
-27.615389,-44.802704,black,0
-37.115425,-25.683887,black,0
-24.222437,-32.97795,black,0
-38.715645,-28.30643,black,0
-25.174932,-37.631847,black,0
-2.0947862,23.43924,red,1
8.098428,-0.84658074,red,1
7.184499,2.0728142,red,1
5.223482,0.95565695,red,1
-1.4238065,23.636322,red,1
-12.89569,8.997247,red,1
1.8345159,4.8789673,red,1
-0.9931352,21.816664,red,1
-1.9683369,12.227295,red,1
3.3608468,-0.04648205,red,1
4.801659,4.9130993,red,1
-1.3638076,17.802887,red,1
-4.6537194,19.067097,red,1
-3.307495,18.068827,red,1
4.780199,1.8345561,red,1
8.173048,0.079046324,red,1
